Branch: הריט, Total Time: 1, Total orders: 1, Average Time: 1
Branch: לייחה תמר - ביבא לת, Total Time: 1, Total orders: 2, Average Time: 0.5
Branch: הרמס םיחאה ןוינק - םערפש, Total Time: 0, Total orders: 1, Average Time: 0
Branch: אביקע רוא, Total Time: 1, Total orders: 1, Average Time: 1
Branch: ביבא תמר - ביבא לת, Total Time: 1, Total orders: 1, Average Time: 1
Branch: ןיקריס - הווקת חתפ, Total Time: 0, Total orders: 1, Average Time: 0
Branch: הלופע, Total Time: 1, Total orders: 1, Average Time: 1
Branch: חרזמ - ןויצל ןושאר, Total Time: 2, Total orders: 1, Average Time: 2
Branch: טהר, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הלופע, Total Time: 1, Total orders: 1, Average Time: 1
Branch: וכע, Total Time: 0, Total orders: 1, Average Time: 0
Branch: הנוי רפכ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: לדגמ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: דרע, Total Time: 1, Total orders: 1, Average Time: 1
Branch: ישי תמר, Total Time: 2, Total orders: 1, Average Time: 2
Branch: לאומש תעבג, Total Time: 1, Total orders: 1, Average Time: 1
Branch: קרב ינב, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הייברג לא הקאב, Total Time: 2, Total orders: 1, Average Time: 2
Branch: ףיעסי רפכ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: סרפסקא - לאימרכ, Total Time: 1, Total orders: 1, Average Time: 1
Branch: ןיקריס - הווקת חתפ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הנבי, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הניפ שאר, Total Time: 1, Total orders: 1, Average Time: 1
Branch: ןומר הפצמ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: דרע, Total Time: 2, Total orders: 2, Average Time: 1
Branch: וכע, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הרדג, Total Time: 1, Total orders: 1, Average Time: 1
Branch: םינג - רפכ הווקת חתפ, Total Time: 1, Total orders: 1, Average Time: 1
Branch: דרע, Total Time: 3, Total orders: 3, Average Time: 1
Branch: לדגמ, Total Time: 2, Total orders: 2, Average Time: 1
Branch: הבייט, Total Time: 1, Total orders: 1, Average Time: 1
Branch: שירח, Total Time: 2, Total orders: 1, Average Time: 2
Branch: אבס רפכ, Total Time: 1, Total orders: 1, Average Time: 1
Branch: בקעי ןורכז, Total Time: 1, Total orders: 1, Average Time: 1
Branch: תובשומה םא - הווקת חתפ, Total Time: 1, Total orders: 1, Average Time: 1
Branch: לבוי תירק - םילשורי, Total Time: 5, Total orders: 1, Average Time: 5
Branch: בקעי ןורכז, Total Time: 2, Total orders: 2, Average Time: 1
Branch: םינג - רפכ הווקת חתפ, Total Time: 4, Total orders: 2, Average Time: 2
Branch: ישי תמר, Total Time: 5, Total orders: 2, Average Time: 2.5
Branch: רורד ינב, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הירומ - הפיח, Total Time: 1, Total orders: 1, Average Time: 1
Branch: םודא ןוינק - תליא, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הנח סדרפ, Total Time: 4, Total orders: 1, Average Time: 4
Branch: חרזמ - ןויצל ןושאר, Total Time: 1, Total orders: 1, Average Time: 1
Branch: רורד ינב, Total Time: 1, Total orders: 1, Average Time: 1
Branch: תוינ - םילשורי, Total Time: 2, Total orders: 1, Average Time: 2
Branch: וכע, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: הלופע, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הקרי, Total Time: 1, Total orders: 1, Average Time: 1
Branch: טפעוש - םילשורי, Total Time: 2, Total orders: 1, Average Time: 2
Branch: החלמ - םילשורי, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הנוי רפכ, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: רטנס וליב, Total Time: 1, Total orders: 1, Average Time: 1
Branch: רורסיבא - עבש ראב, Total Time: 1, Total orders: 1, Average Time: 1
Branch: בקעי ןורכז, Total Time: 2, Total orders: 2, Average Time: 1
Branch: סרפסקא - לאימרכ, Total Time: 2, Total orders: 2, Average Time: 1
Branch: ןיעידומ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הירבט, Total Time: 2, Total orders: 1, Average Time: 2
Branch: למרכ לא תילד, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: הרדג, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: בקעי ןורכז, Total Time: 4, Total orders: 3, Average Time: 1.3333333333333333
Branch: הנומיד, Total Time: 1, Total orders: 1, Average Time: 1
Branch: לדגמ, Total Time: 3, Total orders: 3, Average Time: 1
Branch: ןיעידומ, Total Time: 4, Total orders: 2, Average Time: 2
Branch: הקרי, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הקרי, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: םחאפ לא םוא, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הירומ - הפיח, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: אבס רפכ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: ןאש תיב, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הבייט, Total Time: 2, Total orders: 2, Average Time: 1
Branch: הנח סדרפ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: ןינכס, Total Time: 1, Total orders: 1, Average Time: 1
Branch: םודא ןוינק - תליא, Total Time: 1, Total orders: 1, Average Time: 1
Branch: לדגמ, Total Time: 4, Total orders: 4, Average Time: 1
Branch: םינג - רפכ הווקת חתפ, Total Time: 2, Total orders: 2, Average Time: 1
Branch: באז תגספ - םילשורי, Total Time: 1, Total orders: 1, Average Time: 1
Branch: חרזמ ןולוח, Total Time: 1, Total orders: 1, Average Time: 1
Branch: תוינ - םילשורי, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הילצרה, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הנח סדרפ, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: טהר, Total Time: 2, Total orders: 1, Average Time: 2
Branch: םחאפ לא םוא, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: םיקפוא, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הקרי, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: ןיעה שאר, Total Time: 2, Total orders: 1, Average Time: 2
Branch: ןויצ תרשבמ, Total Time: 1, Total orders: 1, Average Time: 1
Branch: תובוחר, Total Time: 2, Total orders: 1, Average Time: 2
Branch: לדגמ, Total Time: 6, Total orders: 5, Average Time: 1.2
Branch: םיאנומשח - ביבא לת, Total Time: 1, Total orders: 1, Average Time: 1
Branch: ןיקצומ תירק, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הנומיד, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: ןויצ תרשבמ, Total Time: 2, Total orders: 2, Average Time: 1
Branch: חרזמ - ןויצל ןושאר, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הנומיד, Total Time: 4, Total orders: 3, Average Time: 1.3333333333333333
Branch: תיזכרמ הנחת - םילשורי, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הננער, Total Time: 2, Total orders: 1, Average Time: 2
Branch: חרזמ - ןויצל ןושאר, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: סרפסקא - לאימרכ, Total Time: 4, Total orders: 3, Average Time: 1.3333333333333333
Branch: חרזמ - ןויצל ןושאר, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: גלופ - הינתנ, Total Time: 1, Total orders: 1, Average Time: 1
Branch: תוינ - םילשורי, Total Time: 4, Total orders: 2, Average Time: 2
Branch: תרצנ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: תובוחר, Total Time: 4, Total orders: 2, Average Time: 2
Branch: תג תירק, Total Time: 2, Total orders: 1, Average Time: 2
Branch: םייתעבג, Total Time: 2, Total orders: 1, Average Time: 2
Branch: למרכ לא תילד, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: הנוי רפכ, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: ןויצ תרשבמ, Total Time: 4, Total orders: 3, Average Time: 1.3333333333333333
Branch: למרכ לא תילד, Total Time: 6, Total orders: 4, Average Time: 1.5
Branch: תולעמ, Total Time: 4, Total orders: 2, Average Time: 2
Branch: םי תב, Total Time: 2, Total orders: 1, Average Time: 2
Branch: לייחה תמר - ביבא לת, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: דוהי, Total Time: 2, Total orders: 1, Average Time: 2
Branch: סרפסקא - לאימרכ, Total Time: 6, Total orders: 4, Average Time: 1.5
Branch: ברעמ ןולוח, Total Time: 1, Total orders: 1, Average Time: 1
Branch: דוהי, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: לדגמ, Total Time: 8, Total orders: 6, Average Time: 1.3333333333333333
Branch: םודא ןוינק - תליא, Total Time: 2, Total orders: 2, Average Time: 1
Branch: םינג - רפכ הווקת חתפ, Total Time: 3, Total orders: 3, Average Time: 1
Branch: םינג - רפכ הווקת חתפ, Total Time: 4, Total orders: 4, Average Time: 1
Branch: הרמס םיחאה ןוינק - םערפש, Total Time: 2, Total orders: 1, Average Time: 2
Branch: דודשא, Total Time: 1, Total orders: 1, Average Time: 1
Branch: דול הלמר, Total Time: 1, Total orders: 1, Average Time: 1
Branch: החלמ - םילשורי, Total Time: 2, Total orders: 2, Average Time: 1
Branch: םינג - רפכ הווקת חתפ, Total Time: 6, Total orders: 5, Average Time: 1.2
Branch: הירבט, Total Time: 4, Total orders: 2, Average Time: 2
Branch: דול הלמר, Total Time: 2, Total orders: 2, Average Time: 1
Branch: לייחה תמר - ביבא לת, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: םסק רפכ, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הקרי, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: דרע, Total Time: 3, Total orders: 3, Average Time: 1
Branch: הנומש - תירק, Total Time: 2, Total orders: 1, Average Time: 2
Branch: הקרי, Total Time: 7, Total orders: 4, Average Time: 1.75
Branch: תרצנ, Total Time: 4, Total orders: 2, Average Time: 2
Branch: םי תב, Total Time: 4, Total orders: 2, Average Time: 2
Branch: לאומש תעבג, Total Time: 2, Total orders: 2, Average Time: 1
Branch: ןוסידא קראפ, Total Time: 1, Total orders: 1, Average Time: 1
Branch: םינג - רפכ הווקת חתפ, Total Time: 8, Total orders: 6, Average Time: 1.3333333333333333
Branch: הלופע, Total Time: 1, Total orders: 1, Average Time: 1
Branch: ללה תיב - םילשורי, Total Time: 1, Total orders: 1, Average Time: 1
Branch: ןאש תיב, Total Time: 2, Total orders: 2, Average Time: 1
Branch: חרזמ ןולוח, Total Time: 2, Total orders: 2, Average Time: 1
Branch: םינג - רפכ הווקת חתפ, Total Time: 9, Total orders: 7, Average Time: 1.2857142857142858
Branch: תובוחר, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: הנומש - תירק, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: תולעמ, Total Time: 6, Total orders: 3, Average Time: 2
Branch: הייברג לא הקאב, Total Time: 4, Total orders: 2, Average Time: 2
Branch: הנוי רפכ, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: רורסיבא - עבש ראב, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: הירומ - הפיח, Total Time: 4, Total orders: 3, Average Time: 1.3333333333333333
Branch: תובשומה םא - הווקת חתפ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: ןורשה דוה, Total Time: 2, Total orders: 1, Average Time: 2
Branch: םענקי, Total Time: 1, Total orders: 1, Average Time: 1
Branch: םימודא הלעמ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: םייתעבג, Total Time: 4, Total orders: 2, Average Time: 2
Branch: דוהי, Total Time: 4, Total orders: 3, Average Time: 1.3333333333333333
Branch: הנבי, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: הוונ םורמ - ןג תמר, Total Time: 2, Total orders: 1, Average Time: 2
Branch: טהר, Total Time: 4, Total orders: 2, Average Time: 2
Branch: הרדג, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: תיזכרמ הנחת - םילשורי, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: הרדח, Total Time: 1, Total orders: 1, Average Time: 1
Branch: ןוינכט - הפיח, Total Time: 1, Total orders: 1, Average Time: 1
Branch: רורסיבא - עבש ראב, Total Time: 4, Total orders: 3, Average Time: 1.3333333333333333
Branch: ןאש תיב, Total Time: 3, Total orders: 3, Average Time: 1
Branch: ןוסנילב - הווקת חתפ, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הניפ שאר, Total Time: 2, Total orders: 2, Average Time: 1
Branch: הנבי, Total Time: 4, Total orders: 3, Average Time: 1.3333333333333333
Branch: הנומיד, Total Time: 5, Total orders: 4, Average Time: 1.25
Branch: אתא תירק, Total Time: 1, Total orders: 1, Average Time: 1
Branch: תוביטנ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: ןיקריס - הווקת חתפ, Total Time: 4, Total orders: 2, Average Time: 2
Branch: גלופ - הינתנ, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: ןיקריס - הווקת חתפ, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: ריעה זכרמ - הינתנ, Total Time: 2, Total orders: 1, Average Time: 2
Branch: תינמרג הבשומ - הפיח, Total Time: 1, Total orders: 1, Average Time: 1
Branch: םימודא הלעמ, Total Time: 4, Total orders: 2, Average Time: 2
Branch: קילאיב ןוינק - ןג תמר, Total Time: 2, Total orders: 1, Average Time: 2
Branch: ןוינכט - הפיח, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: ןינכס, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: ללה תיב - םילשורי, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: ללה תיב - םילשורי, Total Time: 4, Total orders: 3, Average Time: 1.3333333333333333
Branch: הנוי רפכ, Total Time: 7, Total orders: 4, Average Time: 1.75
Branch: ריעה זכרמ - הינתנ, Total Time: 4, Total orders: 2, Average Time: 2
Branch: םייתעבג, Total Time: 5, Total orders: 3, Average Time: 1.6666666666666667
Branch: ןאש תיב, Total Time: 4, Total orders: 4, Average Time: 1
Branch: אתא תירק, Total Time: 2, Total orders: 2, Average Time: 1
Branch: םינג - רפכ הווקת חתפ, Total Time: 10, Total orders: 8, Average Time: 1.25
Branch: קילאיב ןוינק - ןג תמר, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: אתא תירק, Total Time: 3, Total orders: 3, Average Time: 1
Branch: רורד ינב, Total Time: 1, Total orders: 1, Average Time: 1
Branch: הננער, Total Time: 3, Total orders: 2, Average Time: 1.5
Branch: הנוי רפכ, Total Time: 9, Total orders: 5, Average Time: 1.8
Branch: ןורשה תמר, Total Time: 5, Total orders: 1, Average Time: 5
Branch: הנומיד, Total Time: 6, Total orders: 1, Average Time: 6
Branch: רורד ינב, Total Time: 7, Total orders: 1, Average Time: 7
Branch: דוהי, Total Time: 6, Total orders: 1, Average Time: 6
Branch: לדגמ, Total Time: 9, Total orders: 1, Average Time: 9
Branch: ןוינכט - הפיח, Total Time: 7, Total orders: 1, Average Time: 7
Branch: ןוינק - עבש ראב, Total Time: 5, Total orders: 1, Average Time: 5
Branch: ביבא תמר - ביבא לת, Total Time: 10, Total orders: 1, Average Time: 10
Branch: הנוי רפכ, Total Time: 9, Total orders: 1, Average Time: 9
Branch: בקעי ןורכז, Total Time: 9, Total orders: 1, Average Time: 9
Branch: החלמ - םילשורי, Total Time: 10, Total orders: 1, Average Time: 10
Branch: שמש תיב, Total Time: 7, Total orders: 1, Average Time: 7
Branch: הייברג לא הקאב, Total Time: 11, Total orders: 1, Average Time: 11
Branch: ןינכס, Total Time: 9, Total orders: 1, Average Time: 9
Branch: תוביטנ, Total Time: 12, Total orders: 1, Average Time: 12
Branch: חרזמ - ןויצל ןושאר, Total Time: 6, Total orders: 1, Average Time: 6
Branch: סרפסקא - לאימרכ, Total Time: 8, Total orders: 1, Average Time: 8
Branch: ריעה זכרמ - הינתנ, Total Time: 8, Total orders: 1, Average Time: 8
Branch: ןינכס, Total Time: 20, Total orders: 2, Average Time: 10
Branch: אתא תירק, Total Time: 6, Total orders: 1, Average Time: 6
Branch: שמש תיב, Total Time: 15, Total orders: 2, Average Time: 7.5
Branch: םינג - רפכ הווקת חתפ, Total Time: 5, Total orders: 1, Average Time: 5
Branch: ןורשה דוה, Total Time: 12, Total orders: 1, Average Time: 12
Branch: הנויצ סנ, Total Time: 12, Total orders: 1, Average Time: 12
Branch: ןיקריס - הווקת חתפ, Total Time: 7, Total orders: 1, Average Time: 7
Branch: בקעי ןורכז, Total Time: 17, Total orders: 2, Average Time: 8.5
Branch: ןאש תיב, Total Time: 10, Total orders: 1, Average Time: 10
Branch: םינג - רפכ הווקת חתפ, Total Time: 16, Total orders: 2, Average Time: 8
Branch: הריט, Total Time: 7, Total orders: 1, Average Time: 7
Branch: גלופ - הינתנ, Total Time: 9, Total orders: 1, Average Time: 9
Branch: ןוינכט - הפיח, Total Time: 20, Total orders: 2, Average Time: 10
Branch: תוינ - םילשורי, Total Time: 8, Total orders: 1, Average Time: 8
Branch: ישי תמר, Total Time: 5, Total orders: 1, Average Time: 5
Branch: ןוינכט - הפיח, Total Time: 26, Total orders: 3, Average Time: 8.666666666666666
Branch: תוינ - םילשורי, Total Time: 19, Total orders: 2, Average Time: 9.5
Branch: ףיעסי רפכ, Total Time: 8, Total orders: 1, Average Time: 8
Branch: ןומר הפצמ, Total Time: 8, Total orders: 1, Average Time: 8
Branch: םודא ןוינק - תליא, Total Time: 6, Total orders: 1, Average Time: 6
Branch: םייתעבג, Total Time: 9, Total orders: 1, Average Time: 9
Branch: רטנס וליב, Total Time: 13, Total orders: 1, Average Time: 13
Branch: הננער, Total Time: 9, Total orders: 1, Average Time: 9
Branch: החלמ - םילשורי, Total Time: 16, Total orders: 2, Average Time: 8
Branch: תובשומה םא - הווקת חתפ, Total Time: 12, Total orders: 1, Average Time: 12
Branch: ןוינכט - הפיח, Total Time: 41, Total orders: 4, Average Time: 10.25
Branch: ןינכס, Total Time: 34, Total orders: 3, Average Time: 11.333333333333334
Branch: תלייט - תליא, Total Time: 10, Total orders: 1, Average Time: 10
Branch: םיקפוא, Total Time: 6, Total orders: 1, Average Time: 6
Branch: םי תב, Total Time: 6, Total orders: 1, Average Time: 6
Branch: ןיקריס - הווקת חתפ, Total Time: 14, Total orders: 2, Average Time: 7
Branch: לאימרכ, Total Time: 5, Total orders: 1, Average Time: 5
Branch: םייתעבג, Total Time: 18, Total orders: 2, Average Time: 9
Branch: לבוי תירק - םילשורי, Total Time: 6, Total orders: 1, Average Time: 6
Branch: אביקע רוא, Total Time: 14, Total orders: 1, Average Time: 14
Branch: טפעוש - םילשורי, Total Time: 16, Total orders: 1, Average Time: 16
Branch: ישי תמר, Total Time: 12, Total orders: 2, Average Time: 6
Branch: ןיעידומ, Total Time: 11, Total orders: 1, Average Time: 11
Branch: הרדג, Total Time: 17, Total orders: 1, Average Time: 17
Branch: םימודא הלעמ, Total Time: 12, Total orders: 1, Average Time: 12
Branch: םענקי, Total Time: 17, Total orders: 1, Average Time: 17
Branch: םימודא הלעמ, Total Time: 28, Total orders: 2, Average Time: 14
Branch: םירה- תלייא, Total Time: 14, Total orders: 1, Average Time: 14
Branch: ןיקצומ תירק, Total Time: 14, Total orders: 1, Average Time: 14
Branch: סרפסקא - לאימרכ, Total Time: 24, Total orders: 2, Average Time: 12
Branch: םודא ןוינק - תליא, Total Time: 19, Total orders: 2, Average Time: 9.5
Branch: תוביטנ, Total Time: 19, Total orders: 2, Average Time: 9.5
Branch: תלייט - תליא, Total Time: 23, Total orders: 2, Average Time: 11.5
Branch: וכע, Total Time: 9, Total orders: 1, Average Time: 9
Branch: הירהנ, Total Time: 16, Total orders: 1, Average Time: 16
Branch: ןוסידא קראפ, Total Time: 10, Total orders: 1, Average Time: 10
Branch: םירה- תלייא, Total Time: 31, Total orders: 2, Average Time: 15.5
Branch: םסק רפכ, Total Time: 9, Total orders: 1, Average Time: 9
Branch: תובשומה םא - הווקת חתפ, Total Time: 28, Total orders: 2, Average Time: 14
Branch: חרזמ ןולוח, Total Time: 6, Total orders: 1, Average Time: 6
Branch: םי תב, Total Time: 13, Total orders: 2, Average Time: 6.5
Branch: סרפסקא - לאימרכ, Total Time: 34, Total orders: 3, Average Time: 11.333333333333334
Branch: ריעה זכרמ - הינתנ, Total Time: 22, Total orders: 2, Average Time: 11
Branch: הירבט, Total Time: 14, Total orders: 1, Average Time: 14
Branch: תוינ - םילשורי, Total Time: 38, Total orders: 3, Average Time: 12.666666666666666
Branch: ןיקצומ תירק, Total Time: 27, Total orders: 2, Average Time: 13.5
Branch: הנוי רפכ, Total Time: 5, Total orders: 1, Average Time: 5
Branch: הקרי, Total Time: 6, Total orders: 1, Average Time: 6
Branch: לייחה תמר - ביבא לת, Total Time: 19, Total orders: 1, Average Time: 19
Branch: ברעמ ןולוח, Total Time: 19, Total orders: 1, Average Time: 19
Branch: קרב ינב, Total Time: 11, Total orders: 1, Average Time: 11
Branch: תג תירק, Total Time: 13, Total orders: 1, Average Time: 13
Branch: רטנס וליב, Total Time: 19, Total orders: 2, Average Time: 9.5
Branch: ןולקשא, Total Time: 18, Total orders: 1, Average Time: 18
Branch: ןיקצומ תירק, Total Time: 35, Total orders: 3, Average Time: 11.666666666666666
Branch: הירומ - הפיח, Total Time: 15, Total orders: 1, Average Time: 15
Branch: םודא ןוינק - תליא, Total Time: 30, Total orders: 3, Average Time: 10
Branch: טהר, Total Time: 12, Total orders: 1, Average Time: 12
Branch: ןיקריס - הווקת חתפ, Total Time: 32, Total orders: 3, Average Time: 10.666666666666666
Branch: והילא די - ביבא לת, Total Time: 9, Total orders: 1, Average Time: 9
Branch: םענקי, Total Time: 37, Total orders: 2, Average Time: 18.5
Branch: ללה תיב - םילשורי, Total Time: 12, Total orders: 1, Average Time: 12
Branch: הירומ - הפיח, Total Time: 36, Total orders: 2, Average Time: 18
Branch: םסק רפכ, Total Time: 22, Total orders: 2, Average Time: 11
Branch: רורד ינב, Total Time: 16, Total orders: 2, Average Time: 8
Branch: תלייט - תליא, Total Time: 42, Total orders: 3, Average Time: 14
Branch: תג תירק, Total Time: 25, Total orders: 2, Average Time: 12.5
Branch: הננער, Total Time: 14, Total orders: 2, Average Time: 7
Branch: קרב ינב, Total Time: 16, Total orders: 2, Average Time: 8
Branch: תוינ - םילשורי, Total Time: 44, Total orders: 4, Average Time: 11
Branch: הירבט, Total Time: 27, Total orders: 2, Average Time: 13.5
Branch: דרע, Total Time: 8, Total orders: 1, Average Time: 8
Branch: גלופ - הינתנ, Total Time: 19, Total orders: 2, Average Time: 9.5
Branch: םסק רפכ, Total Time: 33, Total orders: 3, Average Time: 11
Branch: םחאפ לא םוא, Total Time: 17, Total orders: 1, Average Time: 17
Branch: ןיעה שאר, Total Time: 13, Total orders: 1, Average Time: 13
Branch: ףיעסי רפכ, Total Time: 23, Total orders: 2, Average Time: 11.5
Branch: תורדש, Total Time: 17, Total orders: 1, Average Time: 17
Branch: ןוינכט - הפיח, Total Time: 46, Total orders: 4, Average Time: 11.5
Branch: ללה תיב - םילשורי, Total Time: 11, Total orders: 1, Average Time: 11
Branch: ררמ רפכ, Total Time: 10, Total orders: 1, Average Time: 10
Branch: ןיקריס - הווקת חתפ, Total Time: 43, Total orders: 4, Average Time: 10.75
Branch: תורדש, Total Time: 26, Total orders: 2, Average Time: 13
Branch: ישי תמר, Total Time: 34, Total orders: 3, Average Time: 11.333333333333334
Branch: הרמס םיחאה ןוינק - םערפש, Total Time: 23, Total orders: 1, Average Time: 23
Branch: הירבט, Total Time: 42, Total orders: 3, Average Time: 14
Branch: טהר, Total Time: 31, Total orders: 2, Average Time: 15.5
Branch: ןומר הפצמ, Total Time: 20, Total orders: 2, Average Time: 10
Branch: םחאפ לא םוא, Total Time: 40, Total orders: 2, Average Time: 20
Branch: םודא ןוינק - תליא, Total Time: 40, Total orders: 3, Average Time: 13.333333333333334
Branch: דוהי, Total Time: 20, Total orders: 2, Average Time: 10
Branch: תלייט - תליא, Total Time: 63, Total orders: 4, Average Time: 15.75
Branch: םהוש, Total Time: 18, Total orders: 1, Average Time: 18
Branch: גלופ - הינתנ, Total Time: 27, Total orders: 3, Average Time: 9
Branch: תובוחר, Total Time: 14, Total orders: 1, Average Time: 14
Branch: תובשומה םא - הווקת חתפ, Total Time: 48, Total orders: 3, Average Time: 16
Branch: ןיקריס - הווקת חתפ, Total Time: 64, Total orders: 5, Average Time: 12.8
Branch: תומר - םילשורי, Total Time: 7, Total orders: 1, Average Time: 7
Branch: הנומיד, Total Time: 29, Total orders: 2, Average Time: 14.5
Branch: טהר, Total Time: 43, Total orders: 3, Average Time: 14.333333333333334
Branch: הניפ שאר, Total Time: 17, Total orders: 1, Average Time: 17
Branch: הרדח, Total Time: 20, Total orders: 1, Average Time: 20
Branch: הירומ - הפיח, Total Time: 54, Total orders: 3, Average Time: 18
Branch: ריעה זכרמ - הינתנ, Total Time: 34, Total orders: 3, Average Time: 11.333333333333334
Branch: קרב ינב, Total Time: 25, Total orders: 3, Average Time: 8.333333333333334
Branch: תורדש, Total Time: 43, Total orders: 3, Average Time: 14.333333333333334
Branch: ללה תיב - םילשורי, Total Time: 26, Total orders: 2, Average Time: 13
Branch: קילאיב ןוינק - ןג תמר, Total Time: 5, Total orders: 1, Average Time: 5
Branch: סרפסקא - לאימרכ, Total Time: 56, Total orders: 4, Average Time: 14
Branch: םודא ןוינק - תליא, Total Time: 52, Total orders: 4, Average Time: 13
Branch: אתא תירק, Total Time: 12, Total orders: 2, Average Time: 6
Branch: תומר - םילשורי, Total Time: 32, Total orders: 2, Average Time: 16
Branch: םחאפ לא םוא, Total Time: 53, Total orders: 3, Average Time: 17.666666666666668
Branch: סרפסקא - לאימרכ, Total Time: 69, Total orders: 5, Average Time: 13.8
Branch: הנבי, Total Time: 22, Total orders: 1, Average Time: 22
Branch: ריעה זכרמ - הינתנ, Total Time: 50, Total orders: 4, Average Time: 12.5
Branch: סרפסקא - לאימרכ, Total Time: 80, Total orders: 6, Average Time: 13.333333333333334
Branch: גלופ - הינתנ, Total Time: 41, Total orders: 4, Average Time: 10.25
Branch: ונוא תירק, Total Time: 21, Total orders: 1, Average Time: 21
Branch: תינמרג הבשומ - הפיח, Total Time: 24, Total orders: 1, Average Time: 24
Branch: ברעמ - ןויצל ןושאר, Total Time: 14, Total orders: 1, Average Time: 14
Branch: ערק רפכ, Total Time: 19, Total orders: 1, Average Time: 19
Branch: למרכ לא תילד, Total Time: 20, Total orders: 1, Average Time: 20
Branch: חרזמ - ןויצל ןושאר, Total Time: 17, Total orders: 2, Average Time: 8.5
Branch: הבייט, Total Time: 22, Total orders: 1, Average Time: 22
Branch: תולעמ, Total Time: 12, Total orders: 1, Average Time: 12
Branch: באז תגספ - םילשורי, Total Time: 17, Total orders: 1, Average Time: 17
Branch: הייברג לא הקאב, Total Time: 23, Total orders: 2, Average Time: 11.5
Branch: הנוי רפכ, Total Time: 11, Total orders: 2, Average Time: 5.5
Branch: ןאש תיב, Total Time: 15, Total orders: 2, Average Time: 7.5
Branch: תוביטנ, Total Time: 28, Total orders: 3, Average Time: 9.333333333333334
Branch: ןאש תיב, Total Time: 23, Total orders: 3, Average Time: 7.666666666666667
Branch: תומר - םילשורי, Total Time: 46, Total orders: 3, Average Time: 15.333333333333334
Branch: םהוש, Total Time: 30, Total orders: 2, Average Time: 15
